iter	Passed	Remaining
0	94	94308
1	96	47997
2	97	32501
3	99	24818
4	101	20202
5	103	17090
6	105	14974
7	107	13317
8	109	12018
9	110	10968
10	112	10138
11	114	9438
12	116	8844
13	118	8348
14	120	7915
15	122	7506
16	123	7145
17	125	6831
18	126	6551
19	128	6292
20	130	6072
21	132	5875
22	134	5704
23	135	5528
24	137	5363
25	139	5209
26	140	5064
27	142	4932
28	143	4813
29	145	4700
30	147	4604
31	149	4518
32	151	4426
33	152	4339
34	154	4254
35	156	4182
36	157	4106
37	159	4034
38	160	3965
39	163	3916
40	164	3857
41	166	3805
42	168	3750
43	170	3694
44	171	3641
45	173	3590
46	174	3540
47	176	3498
48	178	3457
49	180	3422
50	181	3382
51	183	3340
52	184	3300
53	186	3261
54	187	3224
55	189	3191
56	191	3169
57	193	3142
58	195	3111
59	196	3084
60	198	3059
61	200	3029
62	201	3001
63	203	2976
64	205	2949
65	206	2923
66	208	2896
67	209	2870
68	210	2844
69	212	2820
70	213	2796
71	215	2772
72	216	2749
73	218	2728
74	219	2709
75	221	2688
76	222	2666
77	223	2645
78	225	2624
79	226	2605
80	227	2585
81	229	2567
82	230	2542
83	231	2524
84	233	2508
85	234	2493
86	236	2477
87	237	2460
88	238	2444
89	240	2428
90	241	2413
91	242	2397
92	244	2383
93	245	2369
94	247	2355
95	249	2345
96	250	2331
97	251	2318
98	253	2304
99	254	2291
100	256	2279
101	257	2266
102	258	2254
103	260	2242
104	261	2229
105	263	2219
106	264	2209
107	266	2198
108	267	2187
109	268	2175
110	270	2163
111	271	2152
112	272	2141
113	274	2131
114	275	2120
115	277	2112
116	278	2102
117	280	2092
118	281	2084
119	283	2075
120	284	2066
121	285	2056
122	287	2047
123	288	2038
124	289	2028
125	291	2019
126	292	2008
127	293	2002
128	295	1994
129	296	1986
130	298	1978
131	299	1970
132	300	1961
133	302	1953
134	303	1946
135	305	1939
136	306	1931
137	308	1925
138	309	1918
139	311	1911
140	312	1904
141	313	1894
142	314	1887
143	316	1879
144	317	1872
145	318	1865
146	320	1858
147	321	1852
148	323	1847
149	324	1841
150	326	1834
151	327	1828
152	329	1821
153	330	1815
154	331	1809
155	333	1802
156	334	1796
157	336	1790
158	337	1784
159	339	1780
160	340	1773
161	341	1767
162	343	1761
163	344	1756
164	345	1750
165	347	1744
166	348	1738
167	350	1733
168	351	1728
169	353	1723
170	354	1719
171	355	1713
172	357	1707
173	358	1703
174	360	1697
175	361	1693
176	363	1688
177	364	1683
178	366	1679
179	367	1676
180	369	1672
181	371	1667
182	372	1662
183	373	1657
184	375	1652
185	376	1647
186	377	1642
187	379	1638
188	380	1633
189	382	1629
190	383	1625
191	385	1621
192	386	1617
193	388	1613
194	389	1609
195	391	1605
196	392	1600
197	394	1596
198	395	1591
199	396	1587
200	398	1585
201	400	1580
202	401	1576
203	403	1572
204	404	1568
205	405	1563
206	407	1559
207	408	1555
208	409	1551
209	411	1547
210	412	1543
211	414	1540
212	415	1536
213	417	1533
214	418	1528
215	420	1525
216	421	1520
217	422	1516
218	424	1512
219	425	1507
220	426	1503
221	428	1500
222	429	1497
223	431	1493
224	432	1489
225	433	1484
226	434	1480
227	436	1477
228	437	1473
229	439	1470
230	440	1466
231	441	1462
232	443	1460
233	445	1456
234	446	1453
235	448	1450
236	449	1447
237	450	1443
238	452	1439
239	453	1435
240	454	1432
241	456	1430
242	458	1428
243	460	1425
244	461	1422
245	462	1418
246	464	1415
247	465	1412
248	467	1409
249	468	1405
250	469	1402
251	471	1399
252	473	1396
253	474	1394
254	476	1391
255	477	1388
256	479	1384
257	480	1383
258	482	1380
259	484	1377
260	485	1375
261	488	1375
262	489	1372
263	491	1369
264	492	1366
265	494	1363
266	495	1360
267	497	1357
268	498	1354
269	499	1351
270	501	1347
271	502	1344
272	504	1342
273	505	1339
274	506	1336
275	508	1334
276	510	1331
277	511	1329
278	513	1327
279	515	1324
280	516	1321
281	518	1319
282	519	1316
283	521	1313
284	522	1310
285	524	1308
286	525	1306
287	527	1303
288	528	1301
289	530	1298
290	532	1296
291	533	1294
292	535	1291
293	536	1289
294	538	1287
295	540	1284
296	541	1281
297	542	1279
298	544	1276
299	545	1273
300	547	1271
301	549	1269
302	550	1266
303	552	1264
304	553	1262
305	555	1259
306	557	1257
307	558	1255
308	560	1253
309	561	1250
310	563	1248
311	565	1246
312	566	1243
313	568	1241
314	569	1239
315	571	1237
316	573	1234
317	574	1232
318	576	1230
319	577	1228
320	579	1225
321	581	1223
322	582	1221
323	584	1218
324	585	1216
325	587	1213
326	588	1211
327	590	1208
328	591	1206
329	593	1205
330	595	1202
331	596	1201
332	598	1199
333	600	1197
334	601	1194
335	603	1192
336	604	1190
337	606	1187
338	608	1186
339	610	1184
340	611	1182
341	613	1179
342	614	1177
343	616	1175
344	617	1172
345	619	1170
346	620	1168
347	622	1166
348	623	1163
349	625	1160
350	626	1158
351	627	1155
352	629	1153
353	630	1150
354	632	1148
355	633	1145
356	634	1143
357	636	1141
358	638	1139
359	639	1136
360	640	1134
361	642	1131
362	643	1129
363	645	1127
364	646	1124
365	648	1122
366	649	1120
367	650	1117
368	652	1115
369	653	1113
370	655	1110
371	656	1108
372	658	1106
373	659	1104
374	660	1101
375	662	1099
376	663	1096
377	665	1094
378	666	1092
379	668	1090
380	669	1088
381	671	1085
382	672	1083
383	674	1081
384	675	1079
385	677	1076
386	678	1074
387	679	1072
388	681	1069
389	682	1067
390	684	1065
391	685	1063
392	686	1060
393	688	1058
394	689	1056
395	690	1053
396	692	1051
397	693	1049
398	695	1047
399	696	1045
400	698	1042
401	699	1040
402	700	1038
403	702	1036
404	703	1033
405	705	1031
406	706	1029
407	707	1026
408	709	1024
409	710	1022
410	712	1020
411	713	1018
412	714	1016
413	716	1014
414	717	1012
415	719	1009
416	720	1007
417	721	1005
418	723	1003
419	724	1000
420	726	998
421	728	997
422	729	995
423	731	993
424	732	991
425	734	989
426	735	986
427	736	984
428	737	982
429	739	979
430	740	977
431	742	976
432	744	974
433	745	972
434	747	970
435	748	968
436	749	966
437	751	963
438	752	961
439	754	959
440	755	957
441	757	956
442	759	954
443	760	952
444	762	950
445	764	949
446	765	946
447	766	944
448	768	942
449	769	940
450	771	939
451	773	937
452	774	935
453	775	933
454	777	931
455	778	929
456	780	927
457	782	925
458	783	923
459	784	921
460	786	919
461	787	917
462	789	915
463	790	913
464	792	911
465	793	909
466	794	907
467	796	905
468	797	903
469	799	901
470	800	899
471	802	897
472	803	895
473	805	893
474	806	891
475	807	889
476	809	887
477	810	885
478	811	883
479	813	880
480	814	878
481	816	877
482	817	875
483	819	873
484	820	871
485	822	869
486	823	867
487	824	865
488	826	863
489	827	861
490	828	859
491	830	857
492	832	855
493	833	853
494	835	851
495	836	849
496	837	847
497	839	846
498	840	844
499	841	841
500	843	839
501	844	838
502	846	836
503	848	834
504	849	832
505	851	831
506	852	829
507	854	828
508	856	826
509	857	824
510	859	822
511	860	820
512	862	818
513	864	816
514	865	815
515	866	813
516	868	811
517	870	809
518	871	807
519	873	806
520	874	804
521	877	803
522	878	801
523	880	799
524	881	797
525	883	795
526	884	793
527	885	791
528	887	790
529	888	788
530	890	786
531	891	784
532	893	782
533	894	780
534	895	778
535	897	776
536	898	774
537	899	772
538	901	770
539	902	768
540	903	766
541	905	765
542	907	763
543	908	761
544	910	759
545	911	758
546	913	756
547	915	754
548	916	753
549	918	751
550	920	750
551	922	748
552	924	747
553	925	745
554	927	743
555	928	741
556	930	740
557	932	738
558	934	736
559	935	735
560	937	733
561	939	731
562	940	729
563	941	728
564	943	726
565	944	724
566	946	722
567	947	720
568	949	718
569	950	717
570	952	715
571	953	713
572	955	711
573	956	710
574	958	708
575	959	706
576	961	704
577	962	702
578	964	701
579	966	699
580	967	697
581	969	696
582	970	694
583	972	692
584	973	690
585	975	689
586	976	687
587	978	685
588	980	683
